bike_name,price,city,kms_driven,owner,age,power,brand
Bajaj V15 150cc,35500.0,Gurgaon,15047.0,First Owner,3.0,150.0,Bajaj
TVS Sport 100cc,34000.0,Jaipur,4474.0,First Owner,3.0,100.0,TVS
Bajaj CT 100 100cc,32000.0,Faridabad,14118.0,First Owner,3.0,100.0,Bajaj
Bajaj CT 100 100cc,29000.0,Faridabad,15369.0,First Owner,3.0,100.0,Bajaj
Bajaj Platina  Alloy ES-100cc,38000.0,Gurgaon,66731.0,First Owner,3.0,100.0,Bajaj
Bajaj CT 100 100cc,36400.0,Ludhiana,6000.0,First Owner,3.0,100.0,Bajaj
Bajaj CT 100 ES Alloy,34000.0,Faridabad,18672.0,First Owner,3.0,100.0,Bajaj
Bajaj CT 100 Spoke,34000.0,Jaipur,10841.0,First Owner,3.0,100.0,Bajaj
Bajaj CT 100 100cc,35000.0,Gurgaon,6541.0,First Owner,3.0,100.0,Bajaj
Hero HF Deluxe Eco 100cc,35000.0,Faridabad,20930.0,First Owner,3.0,100.0,Hero
Honda Livo 110cc,40000.0,Faridabad,10637.0,First Owner,3.0,110.0,Honda
Bajaj Platina 100cc,38000.0,Faridabad,15383.0,First Owner,2.0,100.0,Bajaj
Hero HF Deluxe Eco 100cc,36000.0,Gurgaon,12561.0,First Owner,3.0,100.0,Hero
Bajaj Platina  Alloy ES-100cc,35000.0,Faridabad,10430.0,First Owner,3.0,100.0,Bajaj
Hero HF Deluxe self Alloy 100cc,39500.0,Faridabad,5448.0,First Owner,2.0,100.0,Hero
Bajaj Discover 125cc,40000.0,Faridabad,12808.0,First Owner,3.0,125.0,Bajaj
Bajaj Discover 125ST,35000.0,Delhi,13146.0,First Owner,3.0,125.0,Bajaj
Bajaj V15 150cc,35500.0,Gurgaon,15047.0,First Owner,3.0,150.0,Bajaj
Bajaj Discover 125cc,30000.0,Faridabad,13008.0,First Owner,3.0,125.0,Bajaj
TVS Sport 100cc,34000.0,Jaipur,4474.0,First Owner,3.0,100.0,TVS
Bajaj Platina 100cc,38000.0,Faridabad,15383.0,First Owner,2.0,100.0,Bajaj
Bajaj CT 100 ES Alloy,38500.0,Faridabad,4877.0,First Owner,2.0,100.0,Bajaj
Bajaj CT 100 100cc,27000.0,Faridabad,22115.0,First Owner,3.0,100.0,Bajaj
Hero HF Deluxe Eco 100cc,35000.0,Faridabad,18303.0,First Owner,3.0,100.0,Hero
TVS Sport 100cc,32000.0,Gurgaon,23000.0,First Owner,3.0,100.0,TVS
Bajaj CT 100 KS Alloy,40000.0,Chandigarh,1501.0,First Owner,2.0,100.0,Bajaj
Bajaj Platina 100cc ComforTec Alloy,39600.0,Ahmedabad,9000.0,First Owner,3.0,100.0,Bajaj
